DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES
2022-01-01 00:00:00.0000000;288775649361920;410476668256256;sxk990;133;1;60;149
2022-01-01 01:00:00.0000000;288775649361920;410476668256256;sxk990;133;8;63;130
2022-01-01 02:00:00.0000000;288775649361920;410476668256256;sxk990;139;7;69;101
2022-01-01 03:00:00.0000000;288775649361920;410476668256256;sxk990;145;3;61;90
2022-01-01 04:00:00.0000000;288775649361920;410476668256256;sxk990;148;6;73;55
2022-01-01 05:00:00.0000000;288775649361920;410476668256256;sxk990;158;1;55;105
2022-01-01 06:00:00.0000000;288775649361920;410476668256256;sxk990;116;6;60;124
2022-01-06 15:00:00.0000000;288775649361920;410476668256256;sxk990;111;1;54;269
2022-01-06 16:00:00.0000000;288775649361920;410476668256256;sxk990;116;3;54;269
2022-01-06 17:00:00.0000000;288775649361920;410476668256256;sxk990;112;2;49;264
2022-01-06 18:00:00.0000000;288775649361920;410476668256256;sxk990;106;3;49;276
2022-01-06 19:00:00.0000000;288775649361920;410476668256256;sxk990;110;1;39;305
2022-01-06 20:00:00.0000000;288775649361920;410476668256256;sxk990;122;2;51;269
2022-01-06 21:00:00.0000000;288775649361920;410476668256256;sxk990;129;4;54;251
2022-01-10 21:00:00.0000000;288775649361920;410476668256256;sxk990;153;1;58;250
2022-01-10 22:00:00.0000000;288775649361920;410476668256256;sxk990;134;5;60;221
2022-01-10 23:00:00.0000000;288775649361920;410476668256256;sxk990;148;2;60;159
2022-01-11 00:00:00.0000000;288775649361920;410476668256256;sxk990;162;4;61;157
2022-01-11 01:00:00.0000000;288775649361920;410476668256256;sxk990;136;6;64;82
2022-01-11 02:00:00.0000000;288775649361920;410476668256256;sxk990;143;7;70;60
2022-01-11 03:00:00.0000000;288775649361920;410476668256256;sxk990;116;9;63;56
2022-01-15 23:00:00.0000000;288775649361920;410476668256256;sxk990;120;3;57;175
2022-01-16 00:00:00.0000000;288775649361920;410476668256256;sxk990;134;2;54;166
2022-01-16 01:00:00.0000000;288775649361920;410476668256256;sxk990;133;7;65;87
2022-01-16 02:00:00.0000000;288775649361920;410476668256256;sxk990;128;9;66;62
2022-01-16 03:00:00.0000000;288775649361920;410476668256256;sxk990;152;6;66;50
2022-01-16 04:00:00.0000000;288775649361920;410476668256256;sxk990;153;6;61;36
2022-01-16 05:00:00.0000000;288775649361920;410476668256256;sxk990;142;1;55;90
2022-01-21 07:00:00.0000000;288775649361920;410476668256256;sxk990;116;1;44;318
2022-01-21 08:00:00.0000000;288775649361920;410476668256256;sxk990;113;2;41;302
2022-01-21 09:00:00.0000000;288775649361920;410476668256256;sxk990;124;3;43;310
2022-01-21 10:00:00.0000000;288775649361920;410476668256256;sxk990;122;1;52;297
2022-01-21 11:00:00.0000000;288775649361920;410476668256256;sxk990;122;6;53;291
2022-01-21 12:00:00.0000000;288775649361920;410476668256256;sxk990;97;1;51;301
2022-01-21 13:00:00.0000000;288775649361920;410476668256256;sxk990;106;7;50;286
2022-01-26 11:00:00.0000000;288775649361920;410476668256256;sxk990;113;2;49;342
2022-01-26 12:00:00.0000000;288775649361920;410476668256256;sxk990;127;1;49;371
2022-01-26 13:00:00.0000000;288775649361920;410476668256256;sxk990;116;1;46;335
2022-01-26 14:00:00.0000000;288775649361920;410476668256256;sxk990;115;2;46;286
2022-01-26 15:00:00.0000000;288775649361920;410476668256256;sxk990;102;2;50;307
2022-01-26 16:00:00.0000000;288775649361920;410476668256256;sxk990;110;1;50;327
2022-01-31 11:00:00.0000000;288775649361920;410476668256256;sxk990;105;1;49;369
2022-01-31 12:00:00.0000000;288775649361920;410476668256256;sxk990;117;1;53;366
2022-01-31 13:00:00.0000000;288775649361920;410476668256256;sxk990;110;1;52;314
2022-01-31 14:00:00.0000000;288775649361920;410476668256256;sxk990;107;1;51;346
2022-01-31 15:00:00.0000000;288775649361920;410476668256256;sxk990;115;6;53;292
2022-01-31 16:00:00.0000000;288775649361920;410476668256256;sxk990;107;1;52;298
2022-01-31 17:00:00.0000000;288775649361920;410476668256256;sxk990;107;3;53;268
2022-05-01 18:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;139;1;51;208
2022-05-01 19:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;141;1;56;162
2022-05-01 20:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;170;2;58;125
2022-05-01 12:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;120;3;60;236
2022-05-01 13:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;122;2;54;228
2022-05-01 14:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;130;2;56;220
2022-02-02 11:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;92;2;31;151
2022-02-02 12:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;106;2;33;300
2022-02-02 13:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;97;1;31;357
2022-09-05 22:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;150;2;56;268
2022-02-16 10:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;103;1;31;295
2022-05-15 03:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;142;7;64;60
2022-09-08 21:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;116;1;46;256
2022-05-04 22:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;119;1;55;238
2022-05-04 23:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;109;1;54;189
2022-05-05 00:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;134;5;55;150
2022-05-05 01:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;132;1;63;114
2022-09-08 22:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;121;2;49;202
2022-02-05 06:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;134;2;60;267
2022-02-05 07:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;139;2;56;278
2022-02-05 08:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;136;3;42;303
2022-02-05 09:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;104;1;48;272
2022-05-04 14:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;121;3;51;281
2022-05-04 15:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;112;2;49;223
2022-05-04 16:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;114;1;55;239
2022-05-04 17:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;121;2;55;215
2022-05-08 10:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;117;1;63;154
2022-05-08 11:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;140;1;65;179
2022-05-11 00:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;165;2;59;183
2022-09-12 10:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;98;2;24;270
2022-05-13 22:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;123;4;55;248
2022-05-08 16:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;112;1;53;50
2022-05-08 18:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;96;3;47;42
2022-05-09 08:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;72;5;32;8
2022-05-09 09:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;121;1;28;103
2022-05-09 10:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;117;1;25;352
2022-02-11 04:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;146;5;58;74
2022-02-11 05:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;147;2;58;192
2022-02-11 06:00:00.0000000;28,8775634765625;41,0476684570313;sxk990;135;1;54;444
2022-01-02 04:00:00.0000000;288775649361920;410476668256256;sxk990;117;4;60;39
2022-01-02 05:00:00.0000000;288775649361920;410476668256256;sxk990;133;7;54;89
2022-01-02 06:00:00.0000000;288775649361920;410476668256256;sxk990;112;2;58;107
2022-01-02 07:00:00.0000000;288775649361920;410476668256256;sxk990;145;6;62;113
2022-01-02 08:00:00.0000000;288775649361920;410476668256256;sxk990;143;5;61;139
2022-01-02 09:00:00.0000000;288775649361920;410476668256256;sxk990;127;6;61;121
2022-01-07 11:00:00.0000000;288775649361920;410476668256256;sxk990;110;2;57;327
2022-01-07 12:00:00.0000000;288775649361920;410476668256256;sxk990;118;1;54;355
2022-01-07 13:00:00.0000000;288775649361920;410476668256256;sxk990;121;1;56;373
2022-01-07 14:00:00.0000000;288775649361920;410476668256256;sxk990;112;1;52;349
2022-01-07 15:00:00.0000000;288775649361920;410476668256256;sxk990;106;2;51;302
2022-01-07 16:00:00.0000000;288775649361920;410476668256256;sxk990;109;3;50;260
2022-01-07 17:00:00.0000000;288775649361920;410476668256256;sxk990;107;1;52;264
2022-01-07 18:00:00.0000000;288775649361920;410476668256256;sxk990;107;1;44;260
2022-01-11 17:00:00.0000000;288775649361920;410476668256256;sxk990;119;2;49;268
